benchmark,mode,dtype,acc,M,K,N,mnk,run,host_seconds,note
me_matmul_00625_67c55f06,f16->f16,f16,f16,64,3520,3840,865075200,PANIC,755,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00488_aa837a9e,f16->f32,f16,f32,1472,192,3136,886308864,PANIC,786,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00116_7eb79575,f8E5M2->f32,f8E5M2,f32,3072,384,768,905969664,PANIC,431,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00113_d17b5f40,f8E5M2->f32,f8E5M2,f32,896,256,3968,910163968,PANIC,770,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00596_66a7a2fd,f16->f16,f16,f16,64,3776,4032,974389248,PANIC,879,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00651_04c1a573,f16->f16,f16,f16,2432,3200,128,996147200,PANIC,435,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00655_a84deaf7,f16->f16,f16,f16,2048,256,1984,1040187392,PANIC,415,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00132_b6f4b807,f8E5M2->f32,f8E5M2,f32,2048,512,1024,1073741824,PANIC,395,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00426_1b0a7aeb,f16->f32,f16,f32,3520,128,2432,1095761920,PANIC,951,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00758_ce80a020,f16->f16,f16,f16,3648,128,2368,1105723392,PANIC,864,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00362_4d35a779,f16->f32,f16,f32,3840,1536,192,1132462080,PANIC,476,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00223_78d8a8eb,f8E5M2->f32,f8E5M2,f32,2816,640,640,1153433600,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00634_e6540dd5,f16->f16,f16,f16,1024,320,3520,1153433600,PANIC,443,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00174_4a6f0a85,f8E5M2->f32,f8E5M2,f32,1152,256,3968,1170210816,PANIC,614,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00172_4115a34b,f8E5M2->f32,f8E5M2,f32,3584,512,640,1174405120,PANIC,444,Runtime Error at MESI_Two_Level-L1cache.sm:326: Invalid Ru
me_matmul_00390_4062a232,f16->f32,f16,f32,1024,640,1792,1174405120,PANIC,408,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00314_b02eaf41,f16->f32,f16,f32,1088,704,1600,1225523200,PANIC,429,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00028_ab3f6458,f8E5M2->f32,f8E5M2,f32,1536,384,2176,1283457024,PANIC,488,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00271_300904ef,f16->f32,f16,f32,1600,704,1152,1297612800,PANIC,387,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00139_a79deb3f,f8E5M2->f32,f8E5M2,f32,1280,256,3968,1300234240,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00326_65f256ac,f16->f32,f16,f32,128,3072,3328,1308622848,PANIC,609,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00348_29d5d222,f16->f32,f16,f32,3456,128,3008,1330642944,RUN-FAIL,1920,"gem5 rc=1, no stats.txt"
me_matmul_00449_710d9818,f16->f32,f16,f32,3840,1408,256,1384120320,PANIC,467,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00335_e1e9faf6,f16->f32,f16,f32,576,640,3904,1439170560,PANIC,522,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00027_43882a41,f8E5M2->f32,f8E5M2,f32,3200,896,512,1468006400,TIMEOUT,14403,killed after 14400s guard (likely livelock)
me_matmul_00743_c6a8526a,f16->f16,f16,f16,256,2688,2240,1541406720,PANIC,717,
me_matmul_00489_ca669281,f16->f32,f16,f32,1408,448,2496,1574436864,PANIC,655,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00538_8bbaa46f,f16->f16,f16,f16,2560,1088,576,1604321280,PANIC,781,
me_matmul_00645_2f3bee25,f16->f16,f16,f16,1600,512,1984,1625292800,TIMEOUT,14402,killed after 14400s guard (likely livelock)
me_matmul_00245_d3d471b5,f8E5M2->f32,f8E5M2,f32,1664,384,2560,1635778560,PANIC,706,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00372_fad612d0,f16->f32,f16,f32,3136,4096,128,1644167168,PANIC,587,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00446_1003d6b5,f16->f32,f16,f32,2240,320,2304,1651507200,PANIC,634,panic condition !handled && !tc->getSystemPtr()->trapToGdb
me_matmul_00772_2ddb4767,f16->f16,f16,f16,1280,2880,448,1651507200,RUN-FAIL,572,"gem5 rc=139, no stats.txt"
